value,anomaly
73.96732207,-1
74.93588199999998,-1
76.12416182,-1
78.14070732,-1
79.32983574,-1
78.71041827,-1
80.26978421,-1
80.27282792,-1
80.35342468,-1
79.48652315,-1
80.78327674,-1
79.50815854,-1
79.30203285,-1
80.80262407,-1
80.37778929,-1
80.47923735,-1
81.42356028,-1
81.37357535,-1
81.69094215,-1
80.18124978,-1
81.76717835,-1
81.25978065,-1
80.30293653,-1
81.11459031,-1
81.74810877,-1
81.99460747,-1
81.2580527,-1
83.11803871,-1
81.24702121,-1
82.73586941,-1
81.72332602,-1
81.56235567,-1
81.43553422,-1
81.90815592,-1
82.45575098,-1
83.02758267,-1
83.36235646,-1
81.88701566,-1
82.88189183,-1
83.57965349,-1
83.76141298,-1
82.30991906,-1
83.05136903,-1
83.26333638,-1
84.09700706,-1
83.5464428,-1
83.48998999,-1
83.43534304,-1
85.18336642,-1
85.34462435,-1
84.67196172,-1
85.30276155,-1
84.34921079,-1
84.55584383,-1
83.77113659999998,-1
85.29834063,-1
85.40014591,-1
85.10730255,-1
84.97405668,-1
85.43784202,-1
84.83484013,-1
84.94715827,-1
86.16861901,-1
86.37621858,-1
86.3421685,-1
86.61918376,-1
86.30151068,-1
86.57173751,-1
86.48675455,-1
87.52018696,-1
87.00908412,-1
86.96641259,-1
88.62366147,-1
88.59942914,-1
89.44293245,-1
87.98565262,-1
89.75558903,-1
88.80257312,-1
89.7298597,-1
90.22009915,-1
89.44223536,-1
90.50690649,-1
90.89985471,-1
89.52273909,-1
90.79023919,-1
91.52798129,-1
90.30234442,-1
91.69464161,-1
90.61223839,-1
91.35611449,-1
91.1192753,-1
92.2779806,-1
91.93466396,-1
91.26341409,-1
91.03317052,-1
90.54178741,-1
89.31712427,-1
88.60863427,-1
88.00860982,-1
87.98743420000002,-1
87.62276247,-1
86.35545122,-1
86.69530437,-1
84.67963832,-1
84.07484551,-1
84.35696223,-1
84.58044581,-1
82.68818775,-1
82.69563236,-1
83.76512879,-1
82.98957536,-1
82.23041088,-1
83.88653506,-1
81.89958882,-1
81.51452457,-1
82.75784339,-1
82.38401128,-1
83.21031771,-1
82.8468474,-1
80.83401484,-1
80.57814533,-1
82.38411475,-1
82.14105996,-1
81.51010328,-1
80.32038196,-1
81.37765072,-1
82.57875201,-1
83.67102071,-1
82.31952904,-1
84.00735878,-1
84.15133223,-1
85.42547113,-1
86.54847695,-1
87.29964034,-1
86.08152742,-1
85.88428549,-1
85.56048471,-1
85.13496309,-1
86.6109496,-1
86.15758118,-1
85.23120601,-1
85.93395961,-1
85.11561607,-1
85.86375607,-1
83.48616417,-1
85.48938451,-1
83.14095879,-1
83.35164174,-1
83.69802526,-1
83.80362667,-1
83.50931286,-1
83.4881532,-1
84.0784573,-1
82.26519820000001,-1
82.83535437,-1
82.04034143,-1
81.50854903,-1
82.36420121,-1
80.58482816,-1
80.9978684,-1
81.16723557,-1
80.31567859,-1
79.66605694,-1
79.8814896,-1
78.09314197,-1
77.72449282,-1
78.41045288,-1
77.1646548,-1
75.35177264,-1
76.18233367,-1
74.56924109,-1
73.50573006,-1
74.57014555,-1
72.68741156,-1
73.52553931,-1
72.82721113,-1
72.77529924,-1
73.83093472,-1
73.13846943,-1
75.34241901,-1
74.81298165,-1
76.34122004,-1
75.35202093,-1
76.16336404,-1
77.01836571,-1
78.61550225,-1
77.52448684,-1
79.26428222,-1
77.39280881,-1
78.22049763,-1
78.35412045,-1
80.11719562,-1
80.49280262,-1
78.8077078,-1
80.44409017,-1
79.70186363,-1
80.17581648,-1
80.00900765,-1
79.75172848,-1
81.54395534,-1
81.30146345,-1
81.19987815,-1
81.68924032,-1
80.85042358,-1
80.22887183,-1
80.54340412,-1
82.69675156,-1
82.87691879,-1
81.39294104,-1
81.09516526,-1
82.01953528,-1
81.3269712,-1
82.31148178,-1
83.32496669,-1
83.21001771,-1
82.25146959,-1
83.11339476,-1
84.61722355,-1
84.37223101,-1
84.79520638,-1
83.63540044,-1
82.62589147,-1
83.2559329,-1
84.38916448,-1
83.18147487,-1
83.48184527,-1
82.68143532,-1
82.97997961,-1
84.13486850000002,-1
83.54342224,-1
82.56862498,-1
83.45096889,-1
83.45143576,-1
82.88039053,-1
82.57263847,-1
83.85374038,-1
82.44444475,-1
82.11652105,-1
82.52409712,-1
83.22921909,-1
83.55667979,-1
82.69741029,-1
82.24032523,-1
82.18283255,-1
81.91025778,-1
81.92220756,-1
83.08562271,-1
81.94416494,-1
83.33882055,-1
82.73869514,-1
81.52296852,-1
81.42689951,-1
83.44744203,-1
83.17741645,-1
81.39971499,-1
81.49327887,-1
81.42247440000001,-1
80.01620011,-1
81.18422859,-1
78.87746103,-1
79.32870176,-1
78.53209148,-1
77.31031199,-1
78.60147648,-1
80.59333215,-1
80.34151261,-1
82.61994773,-1
82.02344746,-1
